"","PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","Event_Number","PPG_Description","Display_Num","Display_Type","RSP_Unit","Promo_Price","Flag_Display_HEA","Flag_TPR_HEA","Total_Inc_Unit_Sales","Flag_RB_Financial","Base_Units","Inc_GM_Abs","Retro_Fund_Total","Display_Cost","Display_Type_Agg","Trade_Investment","Flag_Modeled_Betas","Flag_PPG","Start_Date","End_Date","FM_Total","Retailer_Revenue","No_Of_Units","Display_Num_Agg","Display_Type_Max","Inc_Revenue","NIS","Inc_NIS","Inc_Unit_Discount","Inc_Unit_Display","R_GM_Inc","R_Net_Revenue_Inc","R_NIS_Inc","R_Total_Trade_Inv_Inc","ACV_D","ACV_D_Any_Promo","ACV_D_Multibuy_Display","ACV_D_Multibuy_Only","ACV_D_Feature_Display","ACV_D_Display_Only","ACV_D_Feature_Only","ACV_D_Unsupported","ACV_D_Total_Multibuy","ACV_D_Multibuy_Feature_Display","ACV_D_Multibuy_Feature","Total Regular Price Elasticiy_Betas","Regular Price Elasticity_Betas","Reg Price Ratio Rest of Brand_Betas","Reg Price Ratio Rest of Manufacturer_Betas","Reg Price Ratio Rest of Category_Betas","Promoted Price Elasticity_Betas","Display Only_Betas","Feature Only_Betas","Feature and Display_Betas","Multi Buy_Betas","Total Multibuy Effect_Betas","Discount","Event_Multiplier","Event_Multiplier_Discount","Event_Multiplier_Display","ROI_GM","ROI_Rev","ROI_NIS","R_ROI_GM","R_ROI_Rev","R_ROI_NIS"
"11","D77","Bar Soap","RECKITT","Bar Soap","ALL",11,"BAR SOAP-All-120GM-35%",1,"GH",16.0256603773585,13.0527628032345,1,1,667.536060675463,1,91,3633.32083931982,259562.02,140,"GH",437853.22,1,1,2024-08-14,2024-08-26,-218076.60952381,774812,18,1,"GH",3763.96996121278,598340.8,6714.07536872062,5.35496562543002,662.181095050033,-1940.8223475939,-1810.17322570094,7543.93635462534,12784.4660632056,15.1090107862166,15.1090107862166,0,0,15.1090107862166,15.1090107862166,15.1090107862166,1,0,0,0,-3.29742885170171,-3.19666873342566,0.605604833837906,0.605604833837906,0.966426217147283,-2.52445119655596,1.5,1.68128050407321,2.52192075610982,0,0,0.185508584614971,7.33556110632377,0.0588457761036265,7.27671533022014,0.00829803384641049,0.00859641950609105,0.0153340778645424,-0.151810982015096,-0.141591617260476,0.59008614965448
"12","D77","Bar Soap","RECKITT","Bar Soap","ALL",12,"BAR SOAP-All-120GM-35%",0,"0",16.2066531887521,11.1601911413343,0,1,2782.93432645046,1,82,-10114.8572312123,20342.1,0,"0",47799.9,1,1,2024-08-27,2024-09-08,-29796.2573809524,60722.6,18,0,"0",-9570.18564348021,33264.8,-1845.16816149376,2117.41744158794,0,14062.5900552995,14607.2616430316,15566.3446423925,31144.178683814,8.87968561403823,8.87962000397415,0,0,8.74040711845636,8.74040711845636,8.87962000397415,1,0,0,0,-3.27190152429401,-3.20091794563827,0.609956700151738,0.609956700151738,0.973370939950359,-2.49401636571853,1.5,1.65776672955543,2.48665009433315,0,0,0.311382121197001,33.9382234932983,25.8221639218042,0,-0.211608334561627,-0.200213507632447,-0.0386019251398802,0.451531896155219,0.469020608677125,0.499815544998863
"13","D77","Bar Soap","RECKITT","Bar Soap","ALL",13,"BAR SOAP-All-120GM-35%",0,"0",20.96875,13.79,0,1,42.4091719476323,1,7,76.1576086119418,369.58,0,"0",943.88,1,1,2024-09-26,2024-09-26,-237.733333333334,1103.2,18,0,"0",84.4578659337098,528.9,280.377638038784,17.9282015216932,0,368.724224086448,377.024481408216,393.576554010672,320.18230541086,0.684863942103004,0.684863942103004,0,0,0,0,0.684863942103004,1,0,0,0,-3.24910464425838,-3.04979301219456,0.616296496528524,0.616296496528524,0.983488008189515,-2.49724828086929,1.5,1.6219514101426,2.4329271152139,0,0,0.342354694485842,6.05845313537605,2.56117164595618,0,0.080685689507079,0.089479452826323,0.297047970122033,1.15160712461389,1.17753065999202,1.22922643556343
"14","D77","Bar Soap","RECKITT","Bar Soap","ALL",14,"BAR SOAP-All-120GM-35%",1,"GH",20.9255305629686,13.6956029991104,1,1,603.8178755766,1,63,449.950119705675,36103.2,140,"GH",94255.5,1,1,2024-09-27,2024-10-05,-24091.4830952381,107770.7,18,1,"GH",568.128417290872,50878.4,3998.13894869195,125.173447063434,478.644428513166,-1074.02773718569,-955.849439600491,5567.53454871767,10882.6153140798,10.8923193827843,10.8923193827843,0,0,10.8701406821186,10.8701406821186,10.8923193827843,1,0,0,0,-3.20745002429878,-2.84136571175219,0.617142991492767,0.617142991492767,0.98483884768157,-2.41521207551994,1.5,1.71869904200591,2.57804856300887,0,0,0.345507491057493,9.58441072343809,1.986880112118,7.5975306113201,0.00477372800213966,0.00602753597711403,0.0424180970732949,-0.0986920612544417,-0.087832695727453,0.511598948233929
"15","D77","Bar Soap","RECKITT","Bar Soap","ALL",15,"BAR SOAP-All-120GM-35%",0,"0",21.014,13.944,0,1,50.389809238692,1,7,101.136456523209,233.56,0,"0",587.06,1,1,2024-10-06,2024-10-06,-141.25,697.2,18,0,"0",110.998671790991,343.7,346.379548706769,28.5486374636474,0,426.482986722799,436.345201990581,455.235788085543,392.063261893516,0.592156830270906,0.588102735899268,0,0,0,0,0.588102735899268,1,0,0,0,-3.22929693114562,-3.19386375211205,0.616426248672528,0.616426248672528,0.983695067094415,-2.39287878203734,1.5,1.69524351078661,2.54286526617992,0,0,0.336442371752165,7.198544176956,4.07837678052106,0,0.172276183904897,0.189075514923502,0.590024100955216,1.08779125252146,1.11294590542149,1.16112840026614
"16","D77","Bar Soap","RECKITT","Bar Soap","ALL",16,"BAR SOAP-All-120GM-35%",3,"HALF G2 PODIUM 6 (CWT)",21.0088807282508,11.8557453191269,1,1,1122.95532799889,1,70,-2132.75825168895,76788.37,315,"HALF G2 PODIUM 6 (CWT)",256905.09,1,1,2024-10-07,2024-10-16,-93070.2795238096,229218.98,18,3,"HALF G2 PODIUM 6 (CWT)",-1912.9751775287,52252.26,3007.64876708749,87.9695091401756,1034.98581885872,-8196.28152208393,-7976.49844792368,8173.14158695595,26437.8840402255,14.5765380975482,14.5765380975482,0,0,14.5469810399454,14.5469810399454,14.5765380975482,1,0,0,0,-3.27919028209981,-3.14384631439374,0.603665692961606,0.603665692961606,0.963331729658268,-2.49671118243792,1.5,1.71538852031944,2.57308278047917,0,0,0.43567934567859,16.0422189714127,1.25670727343108,14.7855116979816,-0.00830173606793445,-0.00744623307202165,0.01170723696867,-0.310020329524603,-0.301707142515164,0.309145072825058
"17","D77","Bar Soap","RECKITT","Bar Soap","ALL",17,"BAR SOAP-All-120GM-35%",0,"0",21,11.7433333333333,0,1,121.023556809924,1,6,-198.901758867894,106.23,0,"0",356.16,1,1,2024-10-17,2024-10-17,-132.863571428572,317.07,18,0,"0",-175.215216137034,67.14,300.945244600677,86.5437694188069,0,803.215518545305,826.902061276165,869.45495280749,1162.72521267898,0.350716147010846,0.350716147010846,0,0,0,0,0.350716147010846,1,0,0,0,-3.221376354479,-3.221376354479,0.598715130006297,0.598715130006297,0.955431604754495,-2.42397266380559,1.5,1.73234659179059,2.59851988768588,0,0,0.440793650793651,20.1705928016539,14.4239615698012,0,-0.558461811736001,-0.49195646938745,0.844972047957875,0.690804250038282,0.711175824054713,0.747773371839267
"18","D77","Bar Soap","RECKITT","Bar Soap","ALL",18,"BAR SOAP-All-120GM-35%",4,"HALF G AREA",17.7631112409897,15.5279135008767,1,1,267.18987474243,1,68,1934.3774771128,53402.2,315,"HALF G AREA",79498.74,1,1,2024-11-11,2024-11-20,-13515.3014285715,159409.56,18,4,"HALF G AREA",1986.67146476414,136463.02,3465.05806068501,5.07759292277875,262.112281819651,-12120.0257426166,-12067.7317549653,3156.51685307342,16460.3332957308,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.26493051129812,-3.16190300358801,0.602640379415426,0.602640379415426,0.961695530875729,-2.48633242186035,1.5,1.7084499656877,2.56267494853155,0,0,0.125833684751977,3.92926286385927,0.074670484158511,3.85459237970076,0.0243321778070043,0.0249899742406502,0.0435863267856197,-0.736317152567019,-0.73314018241023,0.191765063098211
"19","D77","Bar Soap","RECKITT","Bar Soap","ALL",19,"BAR SOAP-All-120GM-35%",0,"0",16.1992792109256,7.84287936267071,0,1,2452.47932527093,1,95,-2926.9738166866,6925.75,0,"0",28953.22,1,1,2024-11-21,2024-12-05,-22763.4180952381,20673.83,18,0,"0",-2446.97836897541,-1353.64,5518.69953036516,1754.53834583797,0,8513.9634477449,8993.95889545609,9844.68446942185,31324.8012119981,0.462061705293336,0.458860739499776,0,0,0,0,0.458860739499776,1,0,0,0,-3.18973719586924,-3.16554155009518,0.617481203117407,0.617481203117407,0.985378566922126,-2.35702676276839,1.5,1.68424938252107,2.52637407378161,0,0,0.515850102924267,25.8155718449572,18.4688246930312,0,-0.101093205408124,-0.0845148957171398,0.190607453345955,0.271796248286609,0.287119424464575,0.314277635883325
"20","D77","Bar Soap","RECKITT","Bar Soap","ALL",20,"BAR SOAP-All-120GM-35%",1,"GH",19.7593491986401,17.156920835357,1,1,200.756926133289,1,67,1549.58144231246,23668.45,140,"GH",35785.25,1,1,2024-12-06,2024-12-15,967.419523809514,70652.2,18,1,"GH",1588.87327635466,59935.4,2906.33598950516,19.2913640465537,181.465562086735,-4088.78270152255,-4049.49086748035,2616.1877027743,7349.93473311162,11.3960501664996,11.3950321945059,0,0,11.2691807699409,11.3678730944396,11.2963398700072,1,0,0,0,-3.32956349986366,-3.3114941273599,0.593365613163212,0.593365613163212,0.946894827903713,-2.54845458731413,1.5,1.73685652196257,2.60528478294385,0,0,0.131706178028487,2.99637203184013,0.28793080666498,2.70844122517515,0.0433022388361813,0.0444002284839328,0.0812160314516501,-0.556301906070335,-0.550956030838928,0.355947065895472
"21","D77","Bar Soap","RECKITT","Bar Soap","ALL",21,"BAR SOAP-All-120GM-35%",1,"GH",18.2224234503361,16.8403659447349,1,1,402.803613565432,1,75,3878.03329938555,30215.98,140,"GH",39158.28,1,1,2024-12-23,2025-01-02,-356.47523809525,90197,18,1,"GH",3956.86939754987,82794.7,6355.32717846502,199.331548102176,203.472065463256,-4549.71500055521,-4470.87890239089,3104.16030815353,11092.9703094066,12.309483539516,12.3081411811266,0,0,12.3043487236619,12.3043487236619,12.3081411811266,1,0,0,0,-3.35486729080377,-3.34957480700488,0.587753295525654,0.587753295525654,0.937938672667102,-2.58749250040559,1.5,1.74431976286022,2.61647964429034,0,0,0.0758437816664669,5.37071484753909,2.65775397469568,2.71296087284341,0.0990348222492292,0.101048089894394,0.162298425223606,-0.410143980706155,-0.403037128712017,0.279831300505805
"22","D77","Bar Soap","RECKITT","Bar Soap","ALL",22,"BAR SOAP-All-120GM-35%",0,"0",18.3229,12.0076333333333,0,1,390.569188413467,1,72,632.707541302866,36203.02,0,"0",93040.42,1,1,2025-01-03,2025-01-13,-42022.4285714286,108068.7,18,0,"0",709.149136762191,51231.3,2293.85691595062,79.6270104088968,0,3385.86860267781,3462.31019813714,3617.27087625565,2958.64725938026,13.9605789506822,13.9591495493081,0,0,13.842353340314,13.842353340314,13.9591495493081,1,0,0,0,-3.34271646061539,-3.33818888773888,0.587238079435539,0.587238079435539,0.937116489109175,-2.5765196390285,1.5,1.74627632678567,2.61941449017851,0,0,0.344665236762012,5.42457206129816,1.10593070012357,0,0.00680035130218528,0.00762194685666929,0.0246544127375029,1.1443975255729,1.17023419644232,1.22260971286362
"23","D77","Bar Soap","RECKITT","Bar Soap","ALL",23,"BAR SOAP-All-120GM-35%",0,"0",18.1721554770318,11.7771590106007,0,1,210.929445880512,1,36,580.968531844669,5582.66,0,"0",14631.58,1,1,2025-01-15,2025-01-20,-6917.45119047619,16664.68,18,0,"0",622.251315665774,7615.76,1538.16010211216,108.934494505774,0,1798.49747795722,1839.78026177833,1921.1616261483,1627.89982849728,0.963908432152493,0.961203284691087,0,0,0,0,0.961203284691087,1,0,0,0,-3.37327301231873,-3.36325656594882,0.587850381690241,0.587850381690241,0.938093603092912,-2.62883611970824,1.5,1.71240983318565,2.56861474977847,0,0,0.351911828759878,5.85915127445866,3.02595818071593,0,0.0397064795356803,0.0425279645578792,0.105126042581332,1.10479615912081,1.13015569482345,1.18014732388155
"24","D77","Bar Soap","RECKITT","Bar Soap","ALL",24,"BAR SOAP-All-120GM-35%",0,"0",21.2414925373134,7.29238805970149,0,1,722.841793205526,1,7,-6719.11801853932,818.4,0,"0",5491.35,1,1,2025-01-25,2025-01-25,-3068.55595238095,2442.95,18,0,"0",-6577.64454450067,-2230,-4811.75283238305,568.450644008151,0,1356.86871917294,1498.34219321159,1742.83919393544,10385.1768870872,0.216498292849018,0.216498292849018,0,0,0,0,0.216498292849018,1,0,0,0,-3.35464888410662,-3.34407181573839,0.597149524499031,0.597149524499031,0.952933206255355,-2.58403820954967,1.5,1.6976416589681,2.54646248845214,0,0,0.656691353166852,103.263113315075,81.2072348583072,0,-1.22358218262164,-1.19781921467411,-0.876242241412959,0.130654367655504,0.144277002645435,0.167819885292706
"25","D77","Bar Soap","RECKITT","Bar Soap","ALL",25,"BAR SOAP-All-120GM-35%",0,"0",21.0719734660033,16.9839303482587,0,1,245.340143636866,1,79,1718.40113229493,3430.88,0,"0",5895.97,1,1,2025-02-14,2025-03-03,42.3135714285699,10241.31,18,0,"0",1766.41872448136,7776.22,3163.63090217262,95.0141514730989,0,2846.90320892621,2894.92080111264,3003.57474923099,1138.47116027745,0.685234135841884,0.684366713565045,0,0,0,0,0.684366713565045,1,0,0,0,-3.35769327604904,-3.35475520150231,0.587500206515588,0.587500206515588,0.937534792379277,-2.59735623686853,1.5,1.73532402590339,2.60298603885509,0,0,0.194003809104074,3.10557143844134,1.20271077814049,0,0.291453506767322,0.299597644574406,0.536575135587972,2.50063708968475,2.54281434797799,2.63825282012327
"26","D77","Bar Soap","RECKITT","Bar Soap","ALL",26,"BAR SOAP-All-120GM-35%",5,"GE",21.925540306042,16.7832654992901,1,1,299.92474853366,1,53,697.569953067689,35640.33,630,"GE",74537.21,1,1,2025-03-25,2025-04-03,-766.623571428584,106389.12,18,5,"GE",756.270759418493,73792.24,3504.42751473661,29.3795228325962,270.545225701063,-21380.428402143,-21321.7275957921,3366.50219496663,26252.4904616855,12.0539385462642,12.0536980807532,0,0,12.0385953205551,12.0385953205551,12.0536980807532,1,0,0,0,-3.40411821643416,-3.40244130308661,0.587206136634716,0.587206136634716,0.937065514680902,-2.65948464292276,1.5,1.7118624362997,2.56779365444956,0,0,0.234533550141741,5.65895751950301,0.554330619482948,5.10462690002006,0.00935868075914954,0.0101462177001057,0.0470158128367914,-0.814415243130813,-0.812179234077254,0.128235536353395
"27","D77","Bar Soap","RECKITT","Bar Soap","ALL",27,"BAR SOAP-All-120GM-35%",6,"STAIRCASE",22.1074257425743,20.1062178217822,1,1,97.6491837792461,1,48,537.248255042182,13605.87,433.806818181818,"STAIRCASE",21986.3781818182,1,1,2025-05-06,2025-05-15,6148.43333333333,40614.56,18,6,"STAIRCASE",556.36000175653,36572.12,1767.62913518635,9.79013407000378,87.8590497092423,-13395.2001367782,-13376.0883900638,1421.46590468403,14981.4409713946,9.5732691153335,9.55343610943962,0,0,7.34066002689595,9.51605939714027,7.37803673919531,1,0,0,0,-3.32406720265082,-3.32406720265082,0.587219914912572,0.587219914912572,0.937087502102737,-2.53316820692091,1.5,1.78021861596224,2.67032792394336,0,0,0.0905219786371678,2.03435799540096,0.203961126458412,1.83039686894255,0.0244355050476874,0.0253047590265056,0.080396558294813,-0.894119608544652,-0.892843913719912,0.0948817878999865
"28","D77","Bar Soap","RECKITT","Bar Soap","ALL",28,"BAR SOAP-All-120GM-35%",6,"STAIRCASE",21.0006261510129,15.0152191528545,1,1,390.94373555925,1,65,1162.13566535319,68283.57,433.806818181818,"STAIRCASE",153873.538181818,1,1,2025-06-10,2025-06-19,-24500.0416666667,203831.6,18,6,"STAIRCASE",1238.65056659866,122579.7,3548.27071105572,42.6445237689336,348.299211790316,-16075.7122948336,-15999.1973935881,4108.65739418787,22426.3124061822,15.2077902122512,15.2073527954799,0,0,15.186802821399,15.186802821399,15.2073527954799,1,0,0,0,-3.38135399333965,-3.37913534124546,0.587656011141844,0.587656011141844,0.937783425922395,-2.61169870106381,1.5,1.7452449883286,2.61786748249291,0,0,0.28501088277645,6.01451900860385,0.656069596445133,5.35844941215871,0.00755253748685497,0.00804979583386883,0.0230596550451908,-0.716823702607569,-0.713411866552687,0.183206998982822
"29","D77","Bar Soap","RECKITT","Bar Soap","ALL",29,"BAR SOAP-All-120GM-35%",6,"STAIRCASE",14.3557224922669,13.0428501988511,1,1,198.688964235061,1,63,782.973075753554,29663.55,433.806818181818,"STAIRCASE",42914.7081818182,1,1,2025-07-01,2025-07-10,-25005.5021428571,88547.91,18,6,"STAIRCASE",821.860171502157,79634.82,2316.56495807401,91.7311403157352,106.957823919325,-17161.0571510953,-17122.1700553467,2486.80256585388,20388.6166273711,11.1297321168442,11.1282753234039,0,0,11.0156362210618,11.0156362210618,11.1282753234039,1,0,0,0,-3.41926189172729,-3.4145646077193,0.588144829827888,0.588144829827888,0.938563484414714,-2.66845093189971,1.5,1.71472334461904,2.57208501692856,0,0,0.0914528888478469,3.1537930830962,1.45604984628151,1.69774323681469,0.0182448654301995,0.0191510138673239,0.0539806760017881,-0.841697966308175,-0.839790671837966,0.121970146935591
