"","PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Discount","Display","Display_Cost","Display_Flag","Event_Multiplier","Event_Multiplier_Discount","Event_Multiplier_Display","Event_Multiplier_Tesco","Event_Multiplier_Discount_Tesco","Event_Multiplier_Display_Tesco","ROI_GM","ROI_Rev","ROI_NIS","Promo_Price","RSP_Unit","R_ROI_GM","R_ROI_Rev","R_ROI_NIS","Flag_Event_Exist_in_History","Flag_Historical_Display_Event"
"11","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.593023255813953,"GH",140,1,53.3487028531983,0.657075398312363,52.6916274548859,53.3487028531983,0.657075398312363,52.6916274548859,-0.784419527760282,-0.433875938297333,-0.250388278187821,5.5,13.5142857142857,0.546274819334529,0.967550931103688,1.00839549805783,1,1
"12","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.556025369978858,"GH",140,1,42.1283710384878,0.511547308422434,41.6168237300653,42.1283710384878,0.511547308422434,41.6168237300653,-0.722463913052182,-0.361451728553992,-0.15530556638315,6,13.5142857142857,0.644343808526421,1.09233840651504,1.13598630204258,1,1
"13","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.519027484143763,"GH",140,1,33.7910521208219,0.403411995053148,33.3876401257687,33.7910521208219,0.403411995053148,33.3876401257687,-0.656373027416236,-0.284429569806024,-0.0543423882872063,6.5,13.5142857142857,0.755625711344243,1.23393859864546,1.2808069928626,1,1
"14","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.482029598308668,"GH",140,1,27.4519830917215,0.321194051527101,27.1307890401944,27.4519830917215,0.321194051527101,27.1307890401944,-0.585850877417281,-0.202492342838558,0.0528984990895965,7,13.5142857142857,0.882973258621979,1.39598145292147,1.44658317126332,1,1
"15","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.445031712473573,"GH",140,1,22.536497060856,0.257440028494143,22.2790570323619,22.536497060856,0.257440028494143,22.2790570323619,-0.510579911202113,-0.115302587754778,0.166837831325174,7.5,13.5142857142857,1.03012169777831,1.58321986930924,1.63819417850355,1,1
"16","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.408033826638478,"GH",140,1,18.659433959842,0.20715438660844,18.4522795732336,18.659433959842,0.20715438660844,18.4522795732336,-0.430221055183956,-0.0225038705788531,0.287917167700032,8,13.5142857142857,1.20205786428253,1.80199932575889,1.86215596484219,1,1
"17","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.371035940803383,"GH",140,1,15.5555542227447,0.166896959569106,15.3886572631756,15.5555542227447,0.166896959569106,15.3886572631756,-0.344415150093926,0.0762758549036863,0.416593365338544,8.5,13.5142857142857,1.40559105667339,2.06098428573611,2.12736811933589,1,1
"18","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.334038054968288,"GH",140,1,13.0378311886333,0.134242005145589,12.9035891834877,13.0378311886333,0.134242005145589,12.9035891834877,-0.252786614162128,0.181417789668812,0.55332866397287,9,13.5142857142857,1.65026718973075,2.37232140860476,2.44631031621763,1,1
"19","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.297040169133192,"GH",140,1,10.971615117872,0.107443111579577,10.8641720062924,10.971615117872,0.107443111579577,10.8641720062924,-0.154950630866169,0.293301032713803,0.698574021163593,9.5,13.5142857142857,1.94989355829122,2.75357972897118,2.8370382762071,1,1
"20","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0.260042283298097,"GH",140,1,9.25815921867721,0.0852195295823382,9.17293968909487,9.25815921867721,0.0852195295823382,9.17293968909487,-0.0505259046099882,0.412283868471836,0.852742033194595,10,13.5142857142857,2.32520903682439,3.23114834097468,3.32667971751294,1,1
