"","Key","PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","DISPLAY TYPE_HEA","Flag_Display_HEA","Base_Units","Base_Units_Tesco","Units","Display_Cost","ACV_D","ACV_D_Any_Promo","ACV_D_Multibuy_Display","ACV_D_Multibuy_Only","ACV_D_Feature_Display","ACV_D_Display_Only","ACV_D_Feature_Only","ACV_D_Unsupported","ACV_D_Total_Multibuy","ACV_D_Multibuy_Feature_Display","ACV_D_Multibuy_Feature","Total Regular Price Elasticiy_Betas","Regular Price Elasticity_Betas","Reg Price Ratio Rest of Brand_Betas","Reg Price Ratio Rest of Manufacturer_Betas","Reg Price Ratio Rest of Category_Betas","Promoted Price Elasticity_Betas","Display Only_Betas","Feature Only_Betas","Feature and Display_Betas","Multi Buy_Betas","Total Multibuy Effect_Betas","RSP_Unit","Net_Cost_Unit","FM%","VAT","COGS_Unit","OID_Unit","UNCR_Unit","STP_Unit","RSP_Unit_Min","Promo_Price","Event_Multiplier","Event_Multiplier_Display","Event_Multiplier_Discount","ROI_GM","ROI_Rev","ROI_NIS","R_ROI_GM","R_ROI_Rev","R_ROI_NIS","Event_Multiplier_Tesco","Event_Multiplier_Display_Tesco","Event_Multiplier_Discount_Tesco","Display_Flag","Display","Discount"
"73","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G2 PODIUM 6 (CWT)",1,70,1095,19334,315,14.5765380975482,14.5765380975482,0,0,14.5469810399454,14.5469810399454,14.5765380975482,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,9.5,11.2972738428855,11.1972084244471,0.100065418438358,-0.155324635220514,0.294008973447929,0.700260169353417,1.95048648466217,2.75433419565372,2.83760851875183,11.2972738428855,11.1972084244471,0.100065418438358,1,"HALF G2 PODIUM 6 (CWT)",0.297040169133192
"74","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G2 PODIUM 6 (CWT)",1,70,1095,19334,315,14.5765380975482,14.5765380975482,0,0,14.5469810399454,14.5469810399454,14.5765380975482,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,10,9.5349154020773,9.45554756023607,0.0793678418412224,-0.0506692737673855,0.413453739477363,0.85516172083245,2.32610810670663,3.23229235868862,3.32757918503777,9.5349154020773,9.45554756023607,0.0793678418412224,1,"HALF G2 PODIUM 6 (CWT)",0.260042283298097
"75","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G2 PODIUM 6 (CWT)",1,70,1095,19334,315,14.5765380975482,14.5765380975482,0,0,14.5469810399454,14.5469810399454,14.5765380975482,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,10.5,8.05966327008837,7.99762115682477,0.0620421132635975,0.0610461960820603,0.540465565472329,1.01954443815138,2.81025325004688,3.84834082281507,3.95939407827737,8.05966327008837,7.99762115682477,0.0620421132635975,1,"HALF G2 PODIUM 6 (CWT)",0.223044397463002
"76","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G2 PODIUM 6 (CWT)",1,70,1095,19334,315,14.5765380975482,14.5765380975482,0,0,14.5469810399454,14.5469810399454,14.5765380975482,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,11,6.81422069784796,6.76680537243829,0.04741532540967,0.180152844448697,0.675296858638983,1.19365074849444,3.45755857729288,4.67200178101354,4.8045423497845,6.81422069784796,6.76680537243829,0.04741532540967,1,"HALF G2 PODIUM 6 (CWT)",0.186046511627907
"77","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G2 PODIUM 6 (CWT)",1,70,1095,19334,315,14.5765380975482,14.5765380975482,0,0,14.5469810399454,14.5469810399454,14.5765380975482,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,11.5,5.75464848526794,5.71967703990121,0.0349714453667346,0.306873480863661,0.818035391864548,1.37748177315174,4.36656389016668,5.8286617921316,5.99199050894551,5.75464848526794,5.71967703990121,0.0349714453667346,1,"HALF G2 PODIUM 6 (CWT)",0.149048625792812
"78","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G2 PODIUM 6 (CWT)",1,70,1095,19334,315,14.5765380975482,14.5765380975482,0,0,14.5469810399454,14.5469810399454,14.5765380975482,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,12,4.84683891208653,4.82252900851598,0.0243099035705498,0.441231492070976,0.968483866689252,1.57063004452035,5.7347687040675,7.56962828907661,7.78028122734379,4.84683891208653,4.82252900851598,0.0243099035705498,1,"HALF G2 PODIUM 6 (CWT)",0.112050739957717
"79","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G2 PODIUM 6 (CWT)",1,70,1095,19334,315,14.5765380975482,14.5765380975482,0,0,14.5469810399454,14.5469810399454,14.5765380975482,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,12.5,4.0640207745169,4.04890448218275,0.015116292334152,0.582900689221696,1.12596422953449,1.77200927926739,8.02413358025002,10.4827210572222,10.774280672218,4.0640207745169,4.04890448218275,0.015116292334152,1,"HALF G2 PODIUM 6 (CWT)",0.0750528541226215
"80","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G2 PODIUM 6 (CWT)",1,70,1095,19334,315,14.5765380975482,14.5765380975482,0,0,14.5469810399454,14.5469810399454,14.5765380975482,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,13,3.38496687019244,3.37782555608797,0.00714131410447098,0.730955702515103,1.28899593520208,1.9794121889952,12.6250599346929,16.3371505670551,16.7947996629762,3.38496687019244,3.37782555608797,0.00714131410447098,1,"HALF G2 PODIUM 6 (CWT)",0.0380549682875264
"81","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G2 PODIUM 6 (CWT)",1,70,1095,19334,315,14.5765380975482,14.5765380975482,0,0,14.5469810399454,14.5469810399454,14.5765380975482,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,13.5,2.79268805737424,2.79250261320594,0.0001854441683054,0.883451004082384,1.45475820808711,2.1887743530051,26.5337774468805,34.0352400330275,35.0047957855188,2.79268805737424,2.79250261320594,0.0001854441683054,1,"HALF G2 PODIUM 6 (CWT)",0.0010570824524313
"82","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,0.5,26425.6576816567,26090.5371648032,335.120516853489,-1.22905750256526,-0.962032466848669,-0.949326019836587,-0.0321588729814383,0.231525396918356,0.256621298384621,26425.6576816567,26090.5371648032,335.120516853489,1,"HALF G AREA",0.963002114164905
"83","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,1,4502.37358100042,4445.30538944479,57.068191555631,-1.19585424572894,-0.92196988810696,-0.895904189299186,0.00549754072256678,0.279441143148529,0.305518270887397,4502.37358100042,4445.30538944479,57.068191555631,1,"HALF G AREA",0.92600422832981
"84","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,1.5,1597.5479828065,1577.32160329208,20.2263795144148,-1.16065676142105,-0.87961032650063,-0.839489351060996,0.0461965910656134,0.331228479653149,0.358372074206244,1597.5479828065,1577.32160329208,20.2263795144148,1,"HALF G AREA",0.889006342494715
"85","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,2,764.993677476277,755.326558128859,9.66711934741808,-1.12328249477504,-0.83476294227575,-0.779845868362533,0.0903207878379295,0.387374129416065,0.415681786429144,764.993677476277,755.326558128859,9.66711934741808,1,"HALF G AREA",0.852008456659619
"86","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,2.5,431.485954688488,426.048703338956,5.43725134953165,-1.0835517704333,-0.78723684439377,-0.716735778894309,0.13831976291681,0.448450224640275,0.478033885400049,431.485954688488,426.048703338956,5.43725134953165,1,"HALF G AREA",0.815010570824524
"87","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,3,269.79246747109,266.405969553384,3.38649791770565,-1.04128212079154,-0.736836063760352,-0.649913254863662,0.190725529964326,0.515133723886495,0.546122235547548,269.79246747109,266.405969553384,3.38649791770565,1,"HALF G AREA",0.778012684989429
"88","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,3.5,181.036008427536,178.775205898759,2.26080252877779,-0.996284583750401,-0.683356164825517,-0.579120775283066,0.248172160207138,0.588231448436947,0.620773814309123,181.036008427536,178.775205898759,2.26080252877779,1,"HALF G AREA",0.741014799154334
"89","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,4,127.862466698964,126.276062533774,1.58640416519003,-0.948360798086515,-0.626581535282167,-0.504086020464603,0.311421401222549,0.668712680812593,0.702982192959633,127.862466698964,126.276062533774,1.58640416519003,1,"HALF G AREA",0.704016913319239
"90","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,4.5,93.865439778464,92.7102188404336,1.15522093803037,-0.897300482435936,-0.566283019588738,-0.424519148781309,0.381396427013291,0.757752109914744,0.793951639497466,93.865439778464,92.7102188404336,1.15522093803037,1,"HALF G AREA",0.667019027484144
"91","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,5,71.0076152499572,70.142299384188,0.865315865769256,-0.842879122838573,-0.502215765391801,-0.340110332515852,0.459226887988956,0.856787154685637,0.895155990110872,71.0076152499572,70.142299384188,0.865315865769256,1,"HALF G AREA",0.630021141649049
"92","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,5.5,55.0105880237081,54.3481619529937,0.662426070714391,-0.784855797823561,-0.434117246776224,-0.250527536462383,0.546309926549761,0.967595603132977,1.00841839305512,55.0105880237081,54.3481619529937,0.662426070714391,1,"HALF G AREA",0.593023255813953
"93","D77 Bar Soap RECKITT Bar Soap ALL BAR SOAP-All-120GM-35%","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","HALF G AREA",1,68,1095,10266,315,13.4659693399186,13.4659693399186,0,0,13.4654481722089,13.4654481722089,13.4659693399186,1,0,0,0,-3.32161307463444,-3.2010712822418,0.599723648091635,0.599723648091635,0.957041001284506,-2.55236480392875,1.5,1.71243699576507,2.5686554936476,0,0,13.5142857142857,16.44,-0.277315010570825,0.05,3.52,0,0,16.44,4.5,6,43.4428586704924,42.9271457486981,0.51571292179426,-0.722971132632594,-0.361705492639345,-0.155414601620472,0.644394163722281,1.09240248077355,1.13602108966572,43.4428586704924,42.9271457486981,0.51571292179426,1,"HALF G AREA",0.556025369978858
