"","PPG","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Display","Discount","Display_Cost","Display_Flag","Event_Multiplier","Event_Multiplier_Discount","Event_Multiplier_Display","Event_Multiplier_Tesco","Event_Multiplier_Discount_Tesco","Event_Multiplier_Display_Tesco","ROI_GM","ROI_Rev","ROI_NIS","Promo_Price","RSP_Unit","R_ROI_GM","R_ROI_Rev","R_ROI_NIS","Flag_Event_Exist_in_History","Flag_Historical_Display_Event","Flag_Event_More_Than_90_Percent"
"31","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.815010570824524,630,1,431.124656117431,5.06931780814544,426.055338309285,431.124656117431,5.06931780814544,426.055338309285,-1.08354967081572,-0.787235318950907,-0.716734390062617,2.5,13.5142857142857,0.13831969766275,0.448450141608019,0.478033857996807,1,1,0
"32","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.778012684989429,630,1,269.567456165857,3.15733687811792,266.410119287739,269.567456165857,3.15733687811792,266.410119287739,-1.04127891106989,-0.736833792484758,-0.649911251525082,3,13.5142857142857,0.190725416224479,0.515133579158702,0.546122183381152,1,1,0
"33","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.741014799154334,630,1,180.885807650146,2.10781620769117,178.777991442454,180.885807650146,2.10781620769117,178.777991442454,-0.996280039190709,-0.683353047691183,-0.579118133619252,3.5,13.5142857142857,0.248171974924838,0.588231212675258,0.620773722159655,1,1,0
"34","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.704016913319239,630,1,127.757084527079,1.47905372927198,126.278030797807,127.757084527079,1.47905372927198,126.278030797807,-0.94835472755769,-0.626577524486615,-0.504082793772057,4,13.5142857142857,0.311421113545109,0.668712314758637,0.702982038751293,1,1,0
"35","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.667019027484144,630,1,93.7887128228455,1.07704825417061,92.7116645686749,93.7887128228455,1.07704825417061,92.7116645686749,-0.897292744528633,-0.566278136224025,-0.424515487923117,4.5,13.5142857142857,0.381395995781781,0.757751561196013,0.793951391649016,1,1,0
"36","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.630021141649049,630,1,70.9501545644978,0.806760777831748,70.1433937866661,70.9501545644978,0.806760777831748,70.1433937866661,-0.842869643032768,-0.502210117004269,-0.340106507317413,5,13.5142857142857,0.459226258279402,0.856786353414348,0.895155603818457,1,1,0
"37","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.593023255813953,630,1,54.9666108194916,0.617600339028198,54.3490104804634,54.9666108194916,0.617600339028198,54.3490104804634,-0.78484458687934,-0.434111045810069,-0.250523957906622,5.5,13.5142857142857,0.546309024859254,0.967594455780661,1.0084178050221,1,1,0
"38","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.556025369978858,630,1,43.4086316066957,0.480815127034278,42.9278164796615,43.4086316066957,0.480815127034278,42.9278164796615,-0.72295830623156,-0.361699075537063,-0.155411844373444,6,13.5142857142857,0.644392891189544,1.09240086154459,1.13602021054315,1,1,0
"39","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.519027484143763,630,1,34.8204222442511,0.379176249107451,34.4412459951436,34.8204222442511,0.379176249107451,34.4412459951436,-0.656931227464964,-0.284671457563585,-0.0543886027453314,6.5,13.5142857142857,0.755695630997508,1.23402756761602,1.28085800235754,1,1,0
"40","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.482029598308668,630,1,28.2905950273088,0.301897705539535,27.9886973217693,28.2905950273088,0.301897705539535,27.9886973217693,-0.586461884447013,-0.202703530104312,0.0529536690245609,7,13.5142857142857,0.88307253335529,1.39610777464094,1.44665943849542,1,1,0
"41","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%","G-area",0.92600422832981,630,1,4498.58103635002,53.206442213957,4445.37459413606,4498.58103635002,53.206442213957,4445.37459413606,-1.19585402185923,-0.921969715509725,-0.895904021581576,1,13.5142857142857,0.00549753581396333,0.279441136902597,0.305518269395928,1,1,0
