"","PPG","Category","Manufacturer","Brand","Format","PPG_Description","Tesco_Week_No","Week_Ending","Base_Units","RSP_Unit","Net_Cost_Unit","COGS_Unit","VAT","BIP_Case","OID","No_Of_Units","STP_Unit","UNCR_Unit","OID_Unit","FM_Abs_Unit_1","FM%","Discount","Display","Display_Cost","Event_Multiplier_Tesco","Display_Flag","TPR_Flag","Event_Lift","Total_Sales","Promo_Price","Retro_Funding_Unit","Retro_Funding_Total","UNCR_Total","OID_Total","Total_Trade_Investment","Gross_Sales","Net_Revenue","NIS","BIP","COGS_Total","GM_Abs","Inc_GM_Abs","FM_Abs_Unit_2","FM%_2","FM_Total","Retailer_Revenue","Inc_NIS","Inc_Revenue","Units_Sale_in_Case","R_NIS_Inc","R_Net_Rev_Inc","R_GM_Inc","R_Trade_Inv_Inc"
"228","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,2024-08-16,7,16.6741818181818,16.44,3.52,0.05,295.92,0,18,16.44,0,0,-0.559826839826842,-0.0352531949230167,0.733189283344393,"GH",10.7692307692308,8.18610313049263,1,1,57.3027219134484,4400,4.44885040055499,4.38636818181818,19300.02,53791.4582375581,0,35065.1892307692,19574.9417624419,-15490.2474683273,3820.54176244194,72336,15488,-30978.2474683273,-403.440431828079,-7.81663143670088,-0.0352531949230167,-34393.1783214839,19574.9417624419,49.756236857256,-201.73485069274,244.444444444444,241.511981733077,-19069.2772490362,-19270.9828301715,20011.3339972932
"229","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,2024-08-17,7,16.8354304635762,16.44,3.52,0.05,295.92,0,18,16.44,0,0,-0.406256701356039,-0.0253376079302952,0.730272937110262,"GH",10.7692307692308,8.18594508945947,1,1,57.3016156262163,4832,4.54097121142481,4.43431291390728,21426.6,59406.8271063953,0,38826.1692307692,21941.9728936047,-16884.1963371645,4553.17289360468,79438.08,17008.64,-33892.8363371645,-401.927624228986,-7.68095259902147,-0.0253376079302952,-37114.3629584717,21941.9728936047,53.9950668520369,-200.225937224704,268.444444444444,237.546182496041,-21199.8230482732,-21401.5247352775,22141.8616091682
"230","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,2024-08-18,7,16.4385026737968,16.44,3.52,0.05,295.92,0,18,16.44,0,0,-0.784283167812582,-0.050095640858816,0.731441386275811,"GH",10.7692307692308,8.17722892638336,1,1,57.2406024846835,5984,4.41470148977624,4.41510360962567,26419.98,71950.426285179,0,45933.1492307692,26417.573714821,-19515.5755159482,6915.17371482103,98376.96,21063.68,-40579.2555159482,-388.165279764838,-7.82041878106363,-0.050095640858816,-46797.3859858847,26417.573714821,66.1478458761034,-186.678359018752,332.444444444444,252.78588091881,-26177.9633498504,-26379.4502705965,27118.9988546986
"231","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,2024-08-19,7,16.6309782608696,16.44,3.52,0.05,295.92,0,18,16.44,0,0,-0.60097308488613,-0.0379425508970296,0.731365249457844,"GH",10.7692307692308,8.1294263039076,1,1,56.9059841273532,2944,4.46765869638071,4.41635529891304,13001.75,35808.8127978552,0,23162.9192307692,13152.7872021448,-10010.1320286244,3002.38720214482,48399.36,10362.88,-20373.0120286244,-393.799693997037,-7.76873165691485,-0.0379425508970296,-22871.1459979573,13152.7872021448,58.0345782844502,-193.490629868754,163.555555555556,243.368708980959,-12769.1505217883,-12969.4595859166,13704.684900842
"232","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,2024-08-20,7,14.9183406113537,16.44,3.52,0.05,295.92,0,18,16.44,0,0,-2.23205656061551,-0.157099200889852,0.735519993306346,"GH",10.7692307692308,6.62745677665181,1,1,46.3921974365627,3664,3.94560282474904,4.34805131004367,15931.26,40204.1112501195,0,23046.8292307692,14456.6887498805,-8590.14048088876,7351.88874988047,60236.16,12897.28,-21487.4204808888,-272.065680499954,-8.33423171400487,-0.157099200889852,-30536.6250001138,14456.6887498805,93.0868652882365,-108.765145523254,203.555555555556,253.638308041295,-15688.3909227279,-15851.6914577046,16451.078648585
"233","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,2024-08-21,7,15.32,16.44,3.52,0.05,295.92,0,18,16.44,0,0,-1.84952380952381,-0.126762402088773,0.735912408759124,"GH",10.7692307692308,6.61717310815841,1,1,46.3202117571089,3600,4.04582189781022,4.3416,15629.76,40587.0411678832,0,24136.5292307692,14564.9588321168,-9571.57039865245,6068.95883211678,59184,12672,-22243.5703986524,-286.201914194372,-8.24523628779979,-0.126762402088773,-29682.8506360793,14564.9588321168,78.0876272913404,-123.154768809349,200,239.281964206079,-15401.2472665632,-15564.2944119482,16162.75154785
"234","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,2024-08-22,7,15.0980620155039,16.44,3.52,0.05,295.92,0,18,16.44,0,0,-2.06089331856774,-0.143325546171027,0.733557191761444,"GH",10.7692307692308,6.62742244967704,1,1,46.3919571477393,4128,4.02277004237073,4.38031976744186,18081.96,45718.8052650937,0,26441.5292307692,16605.9947349064,-9835.53449586288,8257.19473490635,67864.32,14530.56,-24366.0944958629,-273.83498345684,-8.22847066839554,-0.143325546171027,-33967.1269191368,16605.9947349064,92.7973411585063,-110.535294296798,229.333333333333,248.87930489254,-17843.8499258767,-18007.1496150367,18606.5337013855
"235","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,2024-08-23,7,15.584126984127,16.44,3.52,0.05,295.92,0,18,16.44,0,0,-1.59797430083144,-0.107665512324302,0.73631024794346,"GH",10.7692307692308,6.61717310815841,1,1,46.3202117571089,7056,4.10937458046209,4.33505952380952,30588.18,80965.8529602595,0,49252.5492307692,28995.7470397405,-20256.8021910288,10342.1470397405,116000.64,24837.12,-45093.9221910288,-296.026080618912,-8.19125039955992,-0.107665512324302,-57797.4628192948,28995.7470397405,67.8926361825305,-132.978935233889,392,229.991320088718,-30368.9579106805,-30532.0050560655,31130.4621919674
"236","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,2024-08-24,7,15.4075916230366,16.44,3.52,0.05,295.92,0,18,16.44,0,0,-1.76610321615557,-0.120356796982517,0.738791345014713,"GH",10.7692307692308,6.62250914431905,1,1,46.3575640102333,6112,4.02459628441598,4.29427028795812,26246.58,69572.8675096496,0,42080.5492307692,24598.3324903504,-17482.2167404188,8775.13249035044,100481.28,21514.24,-38996.4567404188,-295.775644554362,-8.31278086974096,-0.120356796982517,-50807.7166758567,24598.3324903504,66.5565716818879,-132.597019238341,339.555555555556,234.430417289941,-26022.9188134793,-26186.0974387953,26785.0371658075
"237","D77","Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",11,2024-08-25,7,16.2764210526316,16.44,3.52,0.05,295.92,0,18,16.44,0,0,-0.938646616541355,-0.0605525590780336,0.736096891407351,"GH",10.7692307692308,6.56943298770755,1,1,45.9860309139529,7600,4.29539811255232,4.33856710526316,32973.11,91055.7743446024,0,58257.4792307692,32645.0256553976,-25612.4535753716,7371.42565539761,124944,26752,-52364.4535753716,-316.846497488065,-8.01057754944892,-0.0605525590780336,-60880.3893758118,32645.0256553976,44.6029747459237,-154.97566867095,422.222222222222,205.050656922122,-32778.8285738471,-32940.6994026642,33534.8389220725
