"","PPG","Week End Date","SECTOR 2","TRADING COMPANY","PRODUCT RANGE","FORMAT","PPG_Description","Inc_GM_Abs","Trade_Investment","Units","Gross_Sales","Net_Cost_Total","GM_Abs","FM_Total","Retailer_Revenue","Net_Revenue","Base_Units","Total_Inc_Unit_Sales","No_Of_Units","ACV_D","ACV_D_Any_Promo","ACV_D_Multibuy_Display","ACV_D_Multibuy_Only","ACV_D_Feature_Display","ACV_D_Display_Only","ACV_D_Feature_Only","ACV_D_Unsupported","ACV_D_Total_Multibuy","ACV_D_Multibuy_Feature_Display","ACV_D_Multibuy_Feature","Total Regular Price Elasticiy_Betas","Regular Price Elasticity_Betas","Reg Price Ratio Rest of Brand_Betas","Reg Price Ratio Rest of Manufacturer_Betas","Reg Price Ratio Rest of Category_Betas","Promoted Price Elasticity_Betas","Display Only_Betas","Feature Only_Betas","Feature and Display_Betas","Multi Buy_Betas","Total Multibuy Effect_Betas","Flag_Display_HEA","Flag_TPR_HEA","Display_Num","Inc_Revenue","NIS","Inc_NIS","Display_Cost","Retro_Fund_Total","VAT","R_GM_Inc","R_Net_Revenue_Inc","R_NIS_Inc","R_Total_Trade_Inv_Inc","Value","Units_Sale_in_Case"
"21","D77",2024-01-21,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",128.628903619922,15109.3,1760,26692.8,28934.4,5388.3,-2923.08571428572,26692.8,11583.5,7,42.0145259861296,18,13.0305491352109,13.0305491352109,0,0,13.0305491352109,13.0305491352109,13.0305491352109,1,0,0,0,-3.22086229401394,-2.70547059898021,0.623940018181787,0.623940018181787,0.995685565580583,-2.43007599510086,1.5,1.71665213184318,2.57497819776477,0,0,1,1,1,276.520035091098,20665.6,493.326925124409,140,8942.1,0.05,-331.260445517866,-183.36931404669,533.050552158663,874.088121258661,26692.8,97.7777777777778
"22","D77",2024-01-22,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",117.686740318008,7068.78,816,12630.4,13415.04,2689.3,-1112.72761904762,12630.4,5561.62,7,35.7090618746493,18,11.3929112107358,11.3929112107358,0,0,11.3929112107358,11.3929112107358,11.3929112107358,1,0,0,0,-3.11284099940328,-2.73071848041381,0.627999090165575,0.627999090165575,1.00216304621356,-2.3074728341906,1.5,1.68701332255684,2.53051998383525,0,0,1,1,1,243.382638116773,9932.8,434.670306113378,140,4231.18,0.05,-387.696508618642,-262.000610819876,451.971924908131,849.057588039111,12630.4,45.3333333333333
"23","D77",2024-01-23,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",115.588459525998,5017.1,560,8497.6,9206.4,1509.3,-925.84761904762,8497.6,3480.5,7,42.8871247164637,18,7.0659489503527,7.0659489503527,0,0,7.0659489503527,7.0659489503527,7.0659489503527,1,0,0,0,-3.13617499666659,-2.62998672475846,0.628246827934815,0.628246827934815,1.0025583869734,-2.33573425210528,1.5,1.70951608376451,2.56427412564676,0,0,1,1,1,266.55113852795,6467.2,495.285023154133,140,2846.7,0.05,-321.038360066486,-170.075681064533,546.636505715482,875.140011403197,8497.6,31.1111111111111
"24","D77",2024-01-24,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,6,109,98.64,87.88,5.1695238095238,109,109,5,0,18,0.218085622100027,0.118770646374631,0,0,0,0,0.118770646374631,1,0,0,0,-3.30808392877427,-2.71753094488146,0.613237876016639,0.613237876016639,0.978607051357883,-2.56465175846041,1.5,1.72511735267682,2.58767602901523,0,0,0,0,0,0,109,0,0,0,0.05,0,0,0,0,109,0.333333333333333
"25","D77",2024-01-25,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,0,13,238.5,213.72,192.74,13.4228571428571,238.5,238.5,7,0,18,0.272472710038623,0.140351446670803,0,0,0,0,0.140351446670803,1,0,0,0,-3.20681187206958,-2.6616860407839,0.616808197487505,0.616808197487505,0.984304582289436,-2.44791036899083,1.5,1.72179483595485,2.58269225393227,0,0,0,0,0,0,238.5,0,0,0,0.05,0,0,0,0,238.5,0.722222222222222
"26","D77",2024-01-26,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,12,8,143,131.52,102.84,4.67047619047617,143,131,5,0,18,0.219162196379954,0.165940595288811,0,0,0,0,0.165940595288811,1,0,0,0,-3.29484049595654,-2.85192575803692,0.606876668281126,0.606876668281126,0.968455814800936,-2.52013999603132,1.5,1.76578591595507,2.6486788739326,0,0,0,0,0,0,131,0,0,0,0.05,0,0,0,0,143,0.444444444444444
"27","D77",2024-01-27,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,36,16,286,263.04,193.68,9.34095238095234,286,250,7,0,18,0.214583015844089,0.162634125475777,0,0,0,0,0.162634125475777,1,0,0,0,-3.31470564518314,-3.09324827622334,0.606735936660852,0.606735936660852,0.968231234811122,-2.58690763967495,1.5,1.64355813263141,2.46533719894712,0,0,0,0,0,0,250,0,0,0,0.05,0,0,0,0,286,0.888888888888889
"28","D77",2024-01-28,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,36,22,409,361.68,295.56,27.8438095238095,409,373,7,0,18,0.410686919061441,0.284570230333585,0,0,0,0,0.284570230333585,1,0,0,0,-3.26955757875903,-2.78637786466491,0.625691617399161,0.625691617399161,0.998480773463712,-2.43516299503032,1.5,1.75437144453169,2.63155716679754,0,0,0,0,0,0,373,0,0,0,0.05,0,0,0,0,409,1.22222222222222
"29","D77",2024-01-29,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,9,7,133,115.08,99.36,11.5866666666666,133,124,4,0,18,0.270864383754814,0.210039696793507,0,0,0,0,0.210039696793507,1,0,0,0,-3.2916580859352,-2.78546981402707,0.633136152841111,0.633136152841111,1.01036078799396,-2.59250949082968,1.5,1.53286512907054,2.29929769360581,0,0,0,0,0,0,124,0,0,0,0.05,0,0,0,0,133,0.388888888888889
"30","D77",2024-01-30,"Bar Soap","RECKITT","Bar Soap","ALL","BAR SOAP-All-120GM-35%",0,15,9,167,147.96,120.32,11.087619047619,167,152,7,0,18,0.129452260400036,0.0767151153087383,0,0,0,0,0.0767151153087383,1,0,0,0,-3.26587842252668,-2.87217643326481,0.623753675881216,0.623753675881216,0.995388199914768,-2.48740385601631,1.5,1.66596243049027,2.49894364573541,0,0,0,0,0,0,152,0,0,0,0.05,0,0,0,0,167,0.5
